,prop_type,list_date,last_update,prop_status,year_built,address.city,address.county,address.postal_code,address.lat,address.lon,community.price_min,community.baths_min,community.beds_min,community.sqft_min
82,condo,2021-01-18T16:43:00.000Z,2021-01-31T16:55:12.693Z,for_rent,,Los Angeles,Los Angeles,90048,34.073546,-118.37032,4495,3.0,3,1500.0
83,condo,2021-01-19T14:43:00.000Z,2021-01-19T16:55:12.873Z,for_rent,,Culver City,Los Angeles,90232,34.025789,-118.382517,4500,3.0,3,1300.0
84,condo,2021-01-30T16:43:00.000Z,2021-02-14T22:55:13.477Z,for_rent,,San Francisco,San Francisco,94117,37.777048,-122.4386,3575,2.0,2,1100.0
85,condo,2020-10-23T16:43:00.000Z,2021-02-14T14:55:15.747Z,for_rent,,West Hollywood,Los Angeles,90046,34.095001,-118.36548,2850,1.0,2,650.0
86,condo,2021-01-24T16:43:00.000Z,2021-02-12T22:55:13.087Z,for_rent,,Santa Monica,Los Angeles,90405,34.008429,-118.486467,2999,1.0,1,687.0
87,condo,2021-02-12T20:43:00.000Z,2021-02-12T20:55:13.44Z,for_rent,,Imperial Beach,San Diego,91932,32.58469,-117.10971,2900,3.5,3,1662.0
88,single_family,2021-02-09T16:43:00.000Z,2021-02-09T18:55:12.763Z,for_rent,,Los Angeles,Los Angeles,90047,33.96756,-118.307559,3300,3.0,3,1700.0
89,condo,2021-01-20T22:43:00.000Z,2021-01-20T22:55:13.61Z,for_rent,,Beverly Hills,Los Angeles,90212,34.065833,-118.407015,8450,2.5,2,2690.0
90,condo,2021-02-14T16:43:00.000Z,2021-02-14T16:55:13.243Z,for_rent,,Santa Monica,Los Angeles,90403,34.024769,-118.493336,2495,1.0,1,650.0
91,single_family,2021-02-10T16:43:00.000Z,2021-02-10T16:55:12.893Z,for_rent,,Santa Monica,Los Angeles,90404,34.015481,-118.482507,2650,1.0,1,550.0
92,condo,2021-01-21T16:43:00.000Z,2021-02-09T02:55:14.16Z,for_rent,,Los Angeles,Los Angeles,90038,34.087367,-118.32577,3495,2.5,2,1570.0
93,single_family,2021-02-01T10:43:00.000Z,2021-02-07T22:55:13.203Z,for_rent,,Rancho Mirage,Riverside,92270,33.805151,-116.420947,3250,2.0,2,1650.0
94,condo,2020-11-11T16:43:00.000Z,2021-02-10T16:55:12.893Z,for_rent,,Los Angeles,Los Angeles,90049,34.06378,-118.471016,1999,1.0,1,510.0
95,condo,2021-02-08T14:43:00.000Z,2021-02-08T16:55:13.843Z,for_rent,,Santa Monica,Los Angeles,90405,34.008298,-118.485253,2800,1.0,1,699.0
96,condo,2021-02-05T16:43:00.000Z,2021-02-05T22:55:13.3Z,for_rent,,San Jose,Santa Clara,95126,37.328326,-121.904094,3600,2.5,3,1581.0
